Part/Designator,Manufacture Part Number,Quantity,Info,DigiKey part #,Ebay Link
ATMEGA168P,ATMEGA168PA-AU ,1,"Atmel 32-pin 8-bit micro, 16k flash.",ATMEGA168PA-AU-ND ,
"C1, C2, C9",CC0805ZKY5V6BB106,3,10 uF,311-1355-1-ND,
"C3, C4",CC0603KRX7R7BB104,2,0.1uF,311-1088-1-ND,
"CUR_LEFT, CUR_RIGHT",ZXCT1009FTA,2,current monitor chip,ZXCT1009FCT-ND,
"D1, D2, D3, D4",BAT20JFILM ,4,BAT20J,497-3381-1-ND ,
"JP_I2C, JP_GND, JP_RST, JP_VCHRG",PPPC021LFBN-RC,4,"2 pin, 0.254mm pitch female header pin",S7035-ND,
JP_POWER,M20-9990346,1,"3 pin, 0.254mm pitch male header pin",952-2264-ND,
JP_PROG,20021321-00006C4LF,1,"6 pin, 0.127mm pitch female header pin",609-3704-1-ND ,
"LED_LEFT, LED_RIGHT",5988060107F,2,green LED,350-2034-1-ND,
"LINE_SENSE_1, LINE_SENSE_2",QRE1113GR ,2,QRE1113,QRE1113GRCT-ND ,
"M1, M2",www.ebay.com,2,miniature stepper motor,,http://www.ebay.com/itm/10PC-2-Phase-4-Wire-micro-stepper-motor-stepping-motor-Dia-6mm-With-small-screw/251743546959?_trksid=p2047675.c100005.m1851&_trkparms=aid%3D222007%26algo%3DSIC.MBE%26ao%3D1%26asc%3D36016%26meid%3D16d4e4c3fb6841e1b945476259a57fb9%26pid%3D100005%26rk%3D1%26rkt%3D6%26sd%3D171588490360
MEM,24AA025UIDT-I/OT,1,memory chip,24AA025UIDT-I/OTCT-ND,
"MOTOR_CTRL_1, MOTOR_CTRL_2",LB1836M-TLM-E ,2,LB1836M,869-1218-1-ND,
"R1, R3",RC0603FR-071KL,2,1k,311-1.00KHRCT-ND,
"R2, R6, R8, R10, R11",RC0603FR-0710KL,5,10k,311-10.0KHRCT-ND,
"R5, R7",RC0603FR-07100RL ,2,100,311-100HRCT-ND ,
"R4, R9",ERJ-8BWFR100V,2,0.1,P.10AUCT-ND,
"TEMP_LEFT, TEMP_RIGHT",STLM20DD9F,2,temperature sensor,497-5814-1-ND,
